generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
80000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.645495,6.12217,1.0994,15.1844,0
80000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.975439,144.452,1.47836,6.34304,0
81000,Eucalyptus_obliqua,Eucalyptus_barberi,0,6.21995,-0.652022,5.54442,0
81000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.461967,8.95761,2.88967,20.7003,0
81000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.299172,1.34023,-0.83014,41.2695,0
81000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.927574,0.565431,3.06674,16.7317,0
81000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989506,140.832,0.477027,3.42469,0
81000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.453444,35.6111,-0.935223,10.0738,0
81000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.727635,4.16346,-0.694689,28.0494,0
81000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981823,117.879,0.214902,2.59111,0
82000,Eucalyptus_obliqua,Eucalyptus_barberi,0,6.7909,-1.1176,7.84219,0
82000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.964141,5.23711,0.00758684,14.704,0
82000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.28965,18.1526,0.234016,26.0168,0
82000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.910592,3.90414,3.19975,32.8333,0
82000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.990235,261.339,-0.337875,3.29296,0
82000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.883593,0.706429,0.793214,8.5494,0
82000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.954734,126.893,0.222939,10.8462,0
83000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.475469,-0.727744,2.18553,0
83000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.0265119,7.09155,-1.16657,3.60221,0
83000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.752839,4.63349,-2.99516,8.83513,0
83000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.981512,158.92,-0.342398,3.76704,0
83000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981421,175.632,-1.17674,23.4773,0
84000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.97418,-1.26881,6.79981,0
84000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.932792,39.0496,-0.334953,10.2315,0
84000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.98921,161.134,0.0352433,2.50903,0
84000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.977975,196.199,-0.244259,13.3772,0
85000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.83684,-0.390326,5.11047,0
85000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.986178,196.684,0.894397,8.42649,0
85000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.979313,132.108,0.269353,20.2076,0
86000,Eucalyptus_obliqua,Eucalyptus_barberi,0,7.48249,-1.35676,7.17845,0
86000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.977225,214.583,0.352885,26.072,0
