generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
36000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.050344,-0.401664,5.49646,0
36000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.974615,142.221,0.196663,1.5283,0
36000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.96409,124.397,1.57139,43.1542,0
37000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.19594,-0.240971,0.743164,0
37000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.986776,146.409,-0.189445,4.70879,0
37000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.874622,7.19762,-0.217433,53.8075,0
37000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984472,140.153,0.977771,5.93643,0
38000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.263381,0.909361,0.601496,0
38000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.676259,16.6022,0.849802,16.7014,0
38000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.783823,12.9451,-0.99902,27.7931,0
38000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.989803,123.912,1.563,2.69251,0
38000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.985461,141.986,1.42175,21.4811,0
39000,Eucalyptus_obliqua,Eucalyptus_barberi,0,2.72216,0.643115,0.332892,0
39000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.983587,168.463,0.64371,29.342,0
